,spp,redlistCategory,LatinName,Family1,Order1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
1,Arctic Warbler,Least Concern,Phylloscopus borealis,Phylloscopidae,Passeriformes,13.5,8.8,3.1,3.1,17.9,66.2,17,48.9,25.8,47,10.9,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,42.93,72.08,61.57,94.32,13315320.46
2,Ashy Tailorbird,Least Concern,Orthotomus ruficeps,Cisticolidae,Passeriformes,15.7,10.6,2.9,2.5,19.4,47.5,5.7,42.1,12,41.1,7,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-7.99,17.73,1.15,107.77,887360.64
3,Asian Brown Flycatcher,Least Concern,Muscicapa dauurica,Muscicapidae,Passeriformes,13.1,8,4.6,3.5,13.7,68.2,20.3,48.9,29.4,46.8,9.8,NA,Woodland,1,3,Carnivore,Invertivore,Insessorial,-5.7,63.53,48.12,113.45,6794474.03
4,Asian Fairy-Bluebird,Least Concern,Irena puella,Irenidae,Passeriformes,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,25.3,91.8,64.9,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.78,28.23,11.14,102.08,3709810.22
5,Asian Glossy Starling,Least Concern,Aplonis panayensis,Sturnidae,Passeriformes,22.2,13,5.2,6.3,21.8,95.5,33.2,62,34.9,59.4,56.2,NA,Shrubland,1,1,Herbivore,Frugivore,Insessorial,-8.85,24.53,3.77,109.47,2145170.85
6,Banded Bay Cuckoo,Least Concern,Cacomantis sonneratii,Cuculidae,Cuculiformes,23.7,15.2,6.4,5.4,15.3,107.4,34.5,69.3,33.3,95.8,33.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,33.08,13.43,96.57,4946192.25
7,Banded Broadbill,Near Threatened,Eurylaimus javanicus,Eurylaimidae,Passeriformes,29.5,19.7,17.2,11.9,26.8,101,19.1,81.9,18.9,56,78.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,-5.87,-7.3,109.93,126074.83
8,Banded Kingfisher,Least Concern,Lacedo pulchella,Alcedinidae,Coraciiformes,42.5,31.2,13.1,11.9,12,82,18.4,64.4,22.2,59.8,47.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,21.86,9.68,102.25,1429865.78
9,Banded Woodpecker,Least Concern,Chrysophlegma miniaceum,Picidae,Piciformes,29.9,20.4,8.5,8.4,22.7,121.2,22,100,18,71.4,97.3,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.82,13.49,1.34,108.88,1291605.29
10,Bar-winged Flycatcher-Shrike,Least Concern,Hemipus picatus,Vangidae,Passeriformes,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,15.3,55.5,9,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-5.95,30.92,16.08,97.88,4959601.62
