"","scientificName","code","title","timing","scope","severity","score","invasive"
"1","Polyplectron schleiermacheri","2.2","Wood & pulp plantations","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"2","Polyplectron schleiermacheri","2.2.2","Agro-industry plantations","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"3","Polyplectron schleiermacheri","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"4","Polyplectron schleiermacheri","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"5","Polyplectron schleiermacheri","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"6","Polyplectron schleiermacheri","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"7","Polyplectron schleiermacheri","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"8","Polyplectron schleiermacheri","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"9","Liocichla steerii",NA,NA,NA,NA,NA,NA,NA
"10","Tetraogallus caspius",NA,NA,NA,NA,NA,NA,NA
"11","Alectoris barbara",NA,NA,NA,NA,NA,NA,NA
"12","Ammoperdix griseogularis",NA,NA,NA,NA,NA,NA,NA
"13","Phasianus colchicus",NA,NA,NA,NA,NA,NA,NA
"14","Tetrastes bonasia",NA,NA,NA,NA,NA,NA,NA
"15","Tetrao urogallus","11.3","Temperature extremes","Ongoing","Unknown","Unknown",NA,NA
"16","Lyrurus tetrix",NA,NA,NA,NA,NA,NA,NA
"17","Cygnus olor",NA,NA,NA,NA,NA,NA,NA
"18","Cygnus cygnus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"19","Anser brachyrhynchus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"20","Mergellus albellus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"21","Tadorna ferruginea","1.1","Housing & urban areas","Past, Likely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA
"22","Tadorna ferruginea","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"23","Tadorna ferruginea","2.3.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"24","Tadorna ferruginea","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"25","Tadorna ferruginea","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"26","Tadorna ferruginea","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"27","Tadorna ferruginea","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"28","Tadorna ferruginea","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"29","Tadorna ferruginea","7.2.7","Abstraction of ground water (agricultural use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"30","Tadorna ferruginea","8.1","Invasive non-native/alien species/diseases","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"31","Tadorna ferruginea","8.1","Invasive non-native/alien species/diseases (Tadorna cana)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Tadorna cana"
"32","Tadorna ferruginea","8.1.1","Unspecified species","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"33","Tadorna ferruginea","8.1.2","Named species (Tadorna cana)","Ongoing","Minority (<50%)","No decline","Low Impact: 4","Tadorna cana"
"34","Tadorna ferruginea","8.5","Viral/prion-induced diseases","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"35","Tadorna ferruginea","8.5.2","Named species","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"36","Tadorna ferruginea","9.1","Domestic & urban waste water","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
