"","scientificName","residential_commercial_development","agriculture_aquaculture","energy_mining","transportation_service_corridors","biological_resource_use_hunting","biological_resource_use_loggingplants","biological_resource_use_fishing","human_intrusions_disturbance","natural_system_modifications","invasives_diseases","pollution","geological_events","climate_change","other"
"1","Abeillia abeillei",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Abroscopus albogularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Abroscopus schisticeps",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Abroscopus superciliaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Aburria aburri",0,5,0,0,5,5,0,0,0,0,0,0,0,0
"6","Acanthagenys rufogularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Acanthidops bairdi",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"8","Acanthis flammea",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"9","Acanthisitta chloris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Acanthiza apicalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Acanthiza chrysorrhoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Acanthiza cinerea",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Acanthiza ewingii",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Acanthiza inornata",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"15","Acanthiza iredalei",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Acanthiza katherina",0,0,0,0,0,0,0,0,0,0,0,0,8,0
"17","Acanthiza lineata",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"18","Acanthiza murina",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Acanthiza nana",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Acanthiza pusilla",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"21","Acanthiza reguloides",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Acanthiza robustirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Acanthiza uropygialis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Acanthoptila nipalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Acanthorhynchus superciliosus",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"26","Acanthorhynchus tenuirostris",0,0,0,0,0,0,0,0,0,0,0,0,5,0
"27","Acanthornis magna",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Accipiter albogularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Accipiter badius",0,4,0,0,4,4,0,0,4,0,4,0,0,0
"30","Accipiter bicolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Accipiter brachyurus",0,6,0,0,0,6,0,0,0,0,0,0,0,0
"32","Accipiter brevipes",0,0,5,0,4,0,0,0,0,0,7,0,0,0
"33","Accipiter butleri",5,5,0,0,7,0,0,0,0,0,0,0,0,0
"34","Accipiter castanilius",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Accipiter cirrocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Accipiter collaris",0,0,0,0,0,5,0,0,0,0,0,0,0,0
"37","Accipiter cooperii",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Accipiter erythrauchen",5,6,5,4,0,5,0,0,5,0,0,0,0,0
"39","Accipiter erythropus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Accipiter fasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Accipiter francesiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Accipiter gentilis",0,5,5,0,5,7,0,5,4,4,4,0,0,0
"43","Accipiter griseiceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Accipiter gularis",0,6,0,0,4,6,0,0,0,4,4,0,0,0
"45","Accipiter gundlachi",0,6,0,0,6,6,0,0,0,0,0,0,0,0
"46","Accipiter haplochrous",0,5,0,0,4,4,0,0,0,0,0,0,0,0
"47","Accipiter henicogrammus",5,6,5,5,0,6,0,0,5,0,0,0,0,0
"48","Accipiter henstii",0,6,0,0,0,5,0,0,0,0,0,0,0,0
"49","Accipiter hiogaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Accipiter imitator",0,5,0,0,0,6,0,0,0,0,0,0,0,0
"51","Accipiter luteoschistaceus",0,5,6,0,0,6,0,0,0,7,0,0,0,0
"52","Accipiter madagascariensis",0,6,0,0,0,5,0,0,0,0,0,0,0,0
"53","Accipiter melanochlamys",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"54","Accipiter melanoleucus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Accipiter meyerianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Accipiter minullus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Accipiter nanus",0,4,0,0,0,4,0,0,0,0,0,0,6,0
"58","Accipiter nisus",0,5,5,0,5,0,0,0,4,0,5,0,0,0
"59","Accipiter novaehollandiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Accipiter ovampensis",0,0,0,0,0,5,0,0,0,0,0,0,0,0
"61","Accipiter poliocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Accipiter poliogaster",0,6,0,0,5,5,0,0,0,0,0,0,0,0
"63","Accipiter princeps",0,7,6,0,0,5,0,0,0,0,0,0,6,0
"64","Accipiter rhodogaster",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Accipiter rufitorques",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Accipiter rufiventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Accipiter soloensis",5,5,0,4,4,5,0,0,0,0,0,0,0,0
"68","Accipiter striatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Accipiter superciliosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Accipiter sylvestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Accipiter tachiro",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Accipiter toussenelii",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Accipiter trinotatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Accipiter trivirgatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Accipiter virgatus",0,0,0,0,0,6,0,0,0,0,0,0,0,0
"76","Aceros nipalensis",5,6,0,0,7,6,0,0,0,0,0,0,0,0
"77","Achaetops pycnopygius",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Acridotheres albocinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Acridotheres burmannicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Acridotheres cinereus",0,0,0,0,8,0,0,0,0,0,0,0,0,0
"81","Acridotheres cristatellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","Acridotheres fuscus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Acridotheres ginginianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Acridotheres grandis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Acridotheres javanicus",0,0,0,0,8,0,0,0,0,0,7,0,0,0
"86","Acridotheres leucocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Acridotheres melanopterus",0,0,0,0,7,0,0,0,0,0,6,0,0,0
"88","Acridotheres tristis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Acritillas indica",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Acrobatornis fonsecai",0,8,0,0,0,6,0,0,0,0,0,0,0,0
"91","Acrocephalus aequinoctialis",5,4,0,0,4,0,0,0,4,7,0,0,6,0
"92","Acrocephalus agricola",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Acrocephalus arundinaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Acrocephalus astrolabii",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"95","Acrocephalus atyphus",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"96","Acrocephalus australis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Acrocephalus bistrigiceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Acrocephalus brevipennis",6,0,0,0,0,0,0,0,0,3,0,0,6,0
"99","Acrocephalus caffer",0,0,0,4,0,5,0,4,0,6,0,0,0,0
"100","Acrocephalus concinens",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Acrocephalus dumetorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","Acrocephalus familiaris",0,0,0,0,0,0,0,0,5,7,0,0,7,0
"103","Acrocephalus gracilirostris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Acrocephalus griseldis",5,5,7,0,0,5,0,3,7,0,4,0,8,0
"105","Acrocephalus hiwae",5,5,0,0,0,0,0,0,0,8,0,3,0,0
"106","Acrocephalus kerearako",0,6,0,0,0,0,0,0,0,6,0,0,6,0
"107","Acrocephalus longirostris",0,6,0,6,0,7,0,6,0,8,0,0,0,0
"108","Acrocephalus luscinius",0,0,0,0,0,0,0,0,3,6,3,0,0,0
"109","Acrocephalus melanopogon",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"110","Acrocephalus mendanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","Acrocephalus musae",0,2,0,2,0,5,0,2,0,5,0,0,0,0
"112","Acrocephalus newtoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","Acrocephalus nijoi",0,5,0,0,0,0,0,0,0,3,0,0,0,0
"114","Acrocephalus orientalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","Acrocephalus orinus",0,5,0,0,6,4,0,0,0,0,0,0,0,0
"116","Acrocephalus paludicola",0,6,0,0,0,6,0,0,6,0,4,0,6,0
"117","Acrocephalus palustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Acrocephalus percernis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Acrocephalus rehsei",4,0,6,0,0,0,0,0,0,6,0,0,2,0
"120","Acrocephalus rimitarae",4,0,0,0,0,0,0,0,0,6,0,0,6,0
"121","Acrocephalus rodericanus",0,2,0,0,0,3,0,6,0,5,0,0,6,0
"122","Acrocephalus rufescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Acrocephalus schoenobaenus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","Acrocephalus scirpaceus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Acrocephalus sechellensis",0,2,0,0,0,0,0,0,0,5,0,0,0,0
"126","Acrocephalus sorghophilus",6,6,0,0,7,0,0,0,0,0,7,0,0,0
"127","Acrocephalus stentoreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","Acrocephalus syrinx",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Acrocephalus taiti",0,0,0,0,0,0,0,0,0,7,0,0,0,0
"130","Acrocephalus tangorum",5,7,0,0,0,0,0,0,7,0,0,0,0,0
"131","Acrocephalus vaughani",5,6,0,0,0,0,0,0,0,8,0,0,6,0
"132","Acrocephalus yamashinae",2,3,0,0,0,0,0,0,3,4,0,2,0,0
"133","Acropternis orthonyx",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Acryllium vulturinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","Actenoides bougainvillei",0,5,0,0,0,5,0,0,0,7,0,0,0,0
"136","Actenoides capucinus",0,6,0,0,0,6,0,0,5,0,0,0,0,0
"137","Actenoides concretus",0,5,0,0,5,0,0,0,3,0,0,0,0,0
"138","Actenoides hombroni",0,7,4,0,0,7,0,0,5,0,0,0,0,0
"139","Actenoides lindsayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","Actenoides monachus",0,6,0,0,0,6,0,0,5,0,0,0,0,0
"141","Actenoides princeps",0,6,0,0,0,6,0,0,0,0,0,0,0,0
"142","Actinodura egertoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Actinodura radcliffei",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Actinodura ramsayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","Actinodura sodangorum",0,6,0,4,0,0,0,0,0,0,0,0,0,0
"146","Actitis hypoleucos",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"147","Actitis macularius",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Actophilornis africanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Actophilornis albinucha",0,5,0,0,5,0,5,0,5,0,5,0,0,0
"150","Adelomyia melanogenys",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","Aechmophorus clarkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Aechmophorus occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Aegithalos annamensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Aegithalos bonvaloti",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Aegithalos caudatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Aegithalos concinnus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Aegithalos fuliginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Aegithalos glaucogularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","Aegithalos iouschistos",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Aegithalos iredalei",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Aegithalos leucogenys",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Aegithalos niveogularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Aegithina lafresnayei",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Aegithina nigrolutea",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Aegithina tiphia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Aegithina viridissima",0,6,0,0,0,6,0,0,5,0,0,0,0,0
"167","Aegolius acadicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Aegolius funereus",0,0,0,0,0,5,0,0,0,4,7,0,0,0
"169","Aegolius gradyi",4,0,0,0,0,0,0,0,0,4,0,0,0,0
"170","Aegolius harrisii",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Aegolius ridgwayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Aegotheles affinis",0,4,0,0,0,5,0,0,0,0,0,0,0,0
"173","Aegotheles albertisi",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Aegotheles archboldi",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Aegotheles bennettii",0,0,0,0,0,5,0,0,0,0,0,0,0,0
"176","Aegotheles crinifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0
