,purpose,scale,level,timing,sn
1,Food - human,,non-trivial,recent,Struthio camelus
2,Food - human,,non-trivial,recent,Struthio camelus
3,"Handicrafts, jewellery, etc.",,non-trivial,recent,Struthio camelus
4,"Handicrafts, jewellery, etc.",,non-trivial,recent,Struthio camelus
5,"Pets/display animals, horticulture",international,non-trivial,recent,Struthio camelus
6,"Pets/display animals, horticulture",international,non-trivial,recent,Struthio camelus
7,Food - human,NA,non-trivial,recent,Struthio molybdophanes
8,"Handicrafts, jewellery, etc.",NA,non-trivial,recent,Struthio molybdophanes
9,"Wearing apparel, accessories",NA,non-trivial,recent,Struthio molybdophanes
10,Food - human,,non-trivial,recent,Rhea americana
11,Medicine - human & veterinary,,non-trivial,recent,Rhea americana
12,Other household goods,,non-trivial,recent,Rhea americana
13,"Pets/display animals, horticulture",international,non-trivial,recent,Rhea americana
14,Food - human,,non-trivial,recent,Rhea pennata
15,"Handicrafts, jewellery, etc.",international,non-trivial,recent,Rhea pennata
16,NA,NA,NA,NA,Nothocercus julius
17,Food - human,NA,non-trivial,recent,Nothocercus bonapartei
18,NA,NA,NA,NA,Nothocercus nigrocapillus
19,Food - human,NA,non-trivial,recent,Tinamus tao
20,Food - human,,non-trivial,recent,Tinamus solitarius
21,"Pets/display animals, horticulture",international,non-trivial,recent,Tinamus solitarius
22,Food - human,NA,non-trivial,recent,Tinamus osgoodi
23,Food - human,,non-trivial,recent,Tinamus major
24,"Pets/display animals, horticulture",international,non-trivial,recent,Tinamus major
25,Food - human,,non-trivial,recent,Tinamus guttatus
26,"Pets/display animals, horticulture",international,non-trivial,recent,Tinamus guttatus
27,NA,NA,NA,NA,Crypturellus berlepschi
28,NA,NA,NA,NA,Crypturellus cinereus
29,Food - human,NA,non-trivial,recent,Crypturellus ptaritepui
30,Food - human,,non-trivial,recent,Crypturellus soui
31,"Pets/display animals, horticulture",international,non-trivial,recent,Crypturellus soui
32,Food - human,NA,non-trivial,recent,Crypturellus obsoletus
33,"Pets/display animals, horticulture",NA,non-trivial,recent,Crypturellus obsoletus
34,NA,NA,NA,NA,Crypturellus undulatus
35,NA,NA,NA,NA,Crypturellus strigulosus
36,NA,NA,NA,NA,Crypturellus duidae
37,NA,NA,NA,NA,Crypturellus erythropus
38,Food - human,NA,non-trivial,recent,Crypturellus noctivagus
